NO,시군구,번지,본번,부번,단지명,전용면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,주소,경도,위도
1252,서울특별시 강서구 등촌동,712,712,0,코오롱오투빌2,59.95,201309,25,"28,300",12,2002,양천로62길 41,서울특별시 강서구 등촌동 712,126.86029571073,37.5557301490906
1253,서울특별시 강서구 등촌동,687,687,0,"등촌1,2단지주공아파트",41.85,201309,25,"18,400",4,1995,강서로68길 36,서울특별시 강서구 등촌동 687,126.842430453381,37.5649734120019
1254,서울특별시 강서구 등촌동,687,687,0,"등촌1,2단지주공아파트",41.85,201309,25,"19,400",5,1995,강서로68길 36,서울특별시 강서구 등촌동 687,126.842430453381,37.5649734120019
1255,서울특별시 강서구 내발산동,749,749,0,마곡수명산파크5단지,59.84,201309,25,"31,700",7,2008,수명로2길 105,서울특별시 강서구 내발산동 749,126.827067848467,37.5519895481685
1256,서울특별시 강서구 내발산동,749,749,0,마곡수명산파크5단지,59.84,201309,25,"31,000",3,2008,수명로2길 105,서울특별시 강서구 내발산동 749,126.827067848467,37.5519895481685
1257,서울특별시 강서구 내발산동,657,657,0,우장산힐스테이트,59.98,201309,25,"40,500",10,2005,강서로 348,서울특별시 강서구 내발산동 657,126.838965102044,37.5562956592551
1258,서울특별시 강서구 내발산동,657,657,0,우장산힐스테이트,101.87,201309,25,"62,800",8,2005,강서로 348,서울특별시 강서구 내발산동 657,126.838965102044,37.5562956592551
1259,서울특별시 강서구 가양동,1500,1500,0,강서한강자이,124.4246,201309,25,"75,720",10,2013,양천로55길 55,서울특별시 강서구 가양동 1500,126.849144523266,37.5664868440078
1260,서울특별시 강서구 가양동,1460,1460,0,한강타운,84.99,201309,25,"38,000",11,1993,허준로 23,서울특별시 강서구 가양동 1460,126.844987319453,37.5713848523162
1261,서울특별시 강서구 가양동,448-9,448,9,빛고을우방,59.97,201309,25,"27,200",8,1999,양천로 521,서울특별시 강서구 가양동 448-9,126.857950252379,37.5601069146431
1262,서울특별시 강서구 가양동,1461,1461,0,가양2단지(성지),34.44,201309,25,"15,700",10,1992,허준로 47,서울특별시 강서구 가양동 1461,126.847174411361,37.5704957193283
1263,서울특별시 강서구 가양동,1475,1475,0,강변,39.6,201309,25,"18,300",6,1992,허준로 139,서울특별시 강서구 가양동 1475,126.855667621933,37.5652163063579
1264,서울특별시 강서구 가양동,448-1,448,1,가양강나루현대,59.76,201309,25,"32,500",4,1999,양천로 507,서울특별시 강서구 가양동 448-1,126.856971359725,37.5607561619781
1265,서울특별시 강서구 염창동,272-11,272,11,롯데캐슬,134.5767,201309,25,"59,999",4,2005,공항대로65길 21,서울특별시 강서구 염창동 272-11,126.86835517972,37.5507590570618
1266,서울특별시 강서구 염창동,297,297,0,월드메르디앙,59.81,201309,25,"33,250",6,2004,양천로71길 38,서울특별시 강서구 염창동 297,126.872794958712,37.5527980157628
1267,서울특별시 강서구 염창동,303,303,0,강변코아루,84.77,201309,25,"42,000",9,2007,양천로71길 54,서울특별시 강서구 염창동 303,126.873456154135,37.5532976986152
1268,서울특별시 강서구 염창동,249-11,249,11,현대2,82.74,201309,25,"28,800",1,1993,양천로73길 6,서울특별시 강서구 염창동 249-11,126.872798397714,37.5510408939318
1269,서울특별시 강서구 염창동,295,295,0,성원,59.91,201309,25,"27,800",8,2001,양천로69길 65,서울특별시 강서구 염창동 295,126.872085952226,37.5555795293289
1270,서울특별시 강서구 염창동,240-32,240,32,금호타운,84.84,201309,25,"36,500",4,1999,양천로 595,서울특별시 강서구 염창동 240-32,126.865134525013,37.5563178192884
